date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:35:05	54/54	---M-Z	200	added ('OK')	text/plain	etag:%2222-46bdae5020500%22	http://todbot.com/robots.txt		(from )
21:35:05	40100/40100	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2019:20:30%20GMT	http://todbot.com/blog/bionicarduino/	F:/temp/nunchuk/nunchuk/todbot.com/blog/bionicarduino/index.html	(from )
21:35:06	76861/76861	---MCZ	200	added ('OK')	text/css	etag:%2212c3d-4e33f7e583f40%22	http://todbot.com/blog/wp-content/themes/suffusion/style.css?ver=4.4.7	F:/temp/nunchuk/nunchuk/todbot.com/blog/wp-content/themes/suffusion/style946e.css	(from http://todbot.com/blog/bionicarduino/)
21:35:06	10159/10159	---M-Z	200	added ('OK')	text/css	etag:%2227af-4e33f7e583f40%22	http://todbot.com/blog/wp-content/themes/suffusion/skins/light-theme-gray-2/skin.css?ver=4.4.7	F:/temp/nunchuk/nunchuk/todbot.com/blog/wp-content/themes/suffusion/skins/light-theme-gray-2/skin946e.css	(from http://todbot.com/blog/bionicarduino/)
21:35:06	8861/8861	---M-Z	200	added ('OK')	text/css	etag:%22229d-4e33f7e583f40%22	http://todbot.com/blog/wp-content/themes/suffusion/dark-style.css?ver=4.4.7	F:/temp/nunchuk/nunchuk/todbot.com/blog/wp-content/themes/suffusion/dark-style946e.css	(from http://todbot.com/blog/bionicarduino/)
21:35:06	14542/14542	---MCZ	200	added ('OK')	text/xml	etag:%227af319cb8508f0e96b961506509f9c3a%22	http://todbot.com/blog/bionicarduino/feed/	F:/temp/nunchuk/nunchuk/todbot.com/blog/bionicarduino/feed/index.html	(from http://todbot.com/blog/bionicarduino/)
21:35:06	1163/1163	---M-Z	200	added ('OK')	text/css	etag:%2248b-4e33f7e583f40%22	http://todbot.com/blog/wp-content/themes/suffusion/skins/dark-theme-gray-2/skin.css?ver=4.4.7	F:/temp/nunchuk/nunchuk/todbot.com/blog/wp-content/themes/suffusion/skins/dark-theme-gray-2/skin946e.css	(from http://todbot.com/blog/bionicarduino/)
21:35:07	68915/68915	---M-Z	200	added ('OK')	text/css	etag:%2210d33-50f506b73cd6f%22	http://todbot.com/blog/wp-content/uploads/suffusion/custom-styles.css?ver=4.4.7	F:/temp/nunchuk/nunchuk/todbot.com/blog/wp-content/uploads/suffusion/custom-styles946e.css	(from http://todbot.com/blog/bionicarduino/)
21:35:07	55141/55141	---M-Z	200	added ('OK')	text/css	etag:%22d765-51fcc2afa30fe%22	http://todbot.com/blog/wp-content/plugins/jetpack/css/jetpack.css?ver=3.7	F:/temp/nunchuk/nunchuk/todbot.com/blog/wp-content/plugins/jetpack/css/jetpackef85.css	(from http://todbot.com/blog/bionicarduino/)
21:35:08	7200/7200	---M-Z	200	added ('OK')	application/javascript	etag:%221c20-4e99855ab339c%22	http://todbot.com/blog/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.2.1	F:/temp/nunchuk/nunchuk/todbot.com/blog/wp-includes/js/jquery/jquery-migrate.min1576.js	(from http://todbot.com/blog/bionicarduino/)
21:35:08	1190/1190	---M-Z	200	added ('OK')	application/javascript	etag:%224a6-51fcc2a4a8918%22	http://todbot.com/blog/wp-content/plugins/google-analyticator/external-tracking.min.js?ver=6.4.9	F:/temp/nunchuk/nunchuk/todbot.com/blog/wp-content/plugins/google-analyticator/external-tracking.min109c.js	(from http://todbot.com/blog/bionicarduino/)
21:35:09	33979/33979	---M-Z	200	added ('OK')	application/javascript	etag:%2284bb-4e33f7e583f40%22	http://todbot.com/blog/wp-content/themes/suffusion/scripts/suffusion.js?ver=4.4.7	F:/temp/nunchuk/nunchuk/todbot.com/blog/wp-content/themes/suffusion/scripts/suffusion946e.js	(from http://todbot.com/blog/bionicarduino/)
21:35:10	12492/12492	---M--	200	added ('OK')	image/jpeg	etag:%2230cc-4d48c20d23680%22	http://todbot.com/blog/wp-content/uploads/2013/01/cropped-masthead.jpeg	F:/temp/nunchuk/nunchuk/todbot.com/blog/wp-content/uploads/2013/01/cropped-masthead.jpg	(from http://todbot.com/blog/bionicarduino/)
21:35:10	95977/95977	---MCZ	200	added ('OK')	application/javascript	etag:%22176e9-51d9dc09be683%22	http://todbot.com/blog/wp-includes/js/jquery/jquery.js?ver=1.11.3	F:/temp/nunchuk/nunchuk/todbot.com/blog/wp-includes/js/jquery/jqueryc1d8.js	(from http://todbot.com/blog/bionicarduino/)
21:35:13	29688/29688	---M--	200	added ('OK')	application/zip	etag:%2273f8-43fb4675305c0%22	http://todbot.com/arduino/sketches/bionicarduino-sketches.zip	F:/temp/nunchuk/nunchuk/todbot.com/arduino/sketches/bionicarduino-sketches.zip	(from http://todbot.com/blog/bionicarduino/)
21:35:14	17700/17700	---M--	200	added ('OK')	image/jpeg	etag:%224524-50fef5c8f6afb%22	http://todbot.com/blog/wp-content/uploads/2015/02/blink1mk2-widget0.jpg	F:/temp/nunchuk/nunchuk/todbot.com/blog/wp-content/uploads/2015/02/blink1mk2-widget0.jpg	(from http://todbot.com/blog/bionicarduino/)
21:35:14	38704/38704	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Mar%202015%2010:18:41%20GMT	http://todbot.com/blog/bionicarduino/comment-page-6/	F:/temp/nunchuk/nunchuk/todbot.com/blog/bionicarduino/comment-page-6/index.html	(from http://todbot.com/blog/bionicarduino/)
21:35:15	7778/7778	---M--	200	added ('OK')	image/jpeg	etag:%221e62-44f494aeb8ac0%22	http://todbot.com/blog/wp-content/uploads/2008/06/tm_blinkm_closeup_obliq_sma.jpg	F:/temp/nunchuk/nunchuk/todbot.com/blog/wp-content/uploads/2008/06/tm_blinkm_closeup_obliq_sma.jpg	(from http://todbot.com/blog/bionicarduino/)
21:35:15	44570/44570	---M--	200	added ('OK')	image/jpeg	etag:%22ae1a-43ede7c7be9c0%22	http://todbot.com/blog/wp-content/uploads/2007/11/bionicarduino.jpg	F:/temp/nunchuk/nunchuk/todbot.com/blog/wp-content/uploads/2007/11/bionicarduino.jpg	(from http://todbot.com/blog/bionicarduino/)
21:35:15	6115/6115	---M--	200	added ('OK')	image/jpeg	etag:%2217e3-4915e6b6b7380%22	http://todbot.com/blog/wp-content/uploads/2010/09/crash-color-150x130.jpg	F:/temp/nunchuk/nunchuk/todbot.com/blog/wp-content/uploads/2010/09/crash-color-150x130.jpg	(from http://todbot.com/blog/bionicarduino/)
